name,facility_type,amenity,speciality,operator,operator_type,beds,emergency,address,operational_status,longitude,latitude,osm_id,source
Dr. Shahid’s Clinic,clinic,clinic,,,,,,,,72.963248,33.655659,6237656989,
Dispensary,doctors,doctors,,,,,,,,73.274567,36.161924,3994783458,
Fozia Mother Care,hospital,hospital,,,,,,,,73.114989,31.430798,5265764853,
DHQ Hospital,hospital,hospital,,,,,yes,,,,,451981434,
"Civil Hospital, Quetta.",hospital,hospital,,,,,,,,67.007802,30.192728,6208128885,
Al Nasir Pharmacy,pharmacy,pharmacy,,,,,,,,72.963467,33.645576,6178539085,
الفتح فارمیسی,pharmacy,pharmacy,,,,,,,,74.318083,31.524764,4238888891,
Muslim Khatri Medical Store,pharmacy,pharmacy,,,,,,,,67.054091,24.894509,5346919272,
Sheikh Zayed Hospital,hospital,hospital,,,,,,,,70.313667,28.417583,3347095148,
Isra University Hospital Laboratory,hospital,hospital,,,,,,,,68.362908,25.396011,5253791417,
Islamabad Private Hospital,hospital,hospital,,,,,,,,73.088283,33.726387,4954380782,
Medi Life Clinics,clinic,clinic,,,,,,,,67.040019,24.807863,4801763889,
Defence Health Care Clinic DHC,hospital,hospital,,,,,,,,67.080963,24.838628,5306266443,
Faran Hospital,hospital,hospital,,,,,,,,74.290924,31.566729,5260103795,
Kashif Medico,pharmacy,pharmacy,,,,,,,,67.025142,24.910584,5160317944,
Umeed-e-Seher Old Age Home,hospital,hospital,,,,,,,,67.185755,24.901045,4764497924,
CMH Risalpur,clinic,clinic,,,,,,,,71.995393,34.052939,4464941689,
Haq Orthopedic Hospital,hospital,hospital,,,,,,,,74.300678,31.561931,5259838823,
Abbasi Shaheed Trauma Centre,hospital,hospital,,,,,,,,67.029612,24.921153,4738010733,
Eid Gah Maternity Home,hospital,hospital,,,,,,,,,,721520710,
Clinix Pharmacy,pharmacy,pharmacy,,,,,,,,74.298038,31.48301,4916641154,
T.O Clinic,hospital,hospital,,,,,,,,67.092332,24.924748,4809964495,
Rajput Medical Store Karan,pharmacy,pharmacy,,,,,,,,67.269937,24.861635,4783147827,
Hussain Remedial,pharmacy,pharmacy,,,,,,,,67.049641,24.945732,5201957129,
Government Allama Iqbal Memorial Teaching Hospital,hospital,hospital,,,,,,,,74.546528,32.506249,5906027387,
Infectious Diseases Hospital,hospital,hospital,,,,,,,,,,607141169,
Village Hospital Tanda,hospital,hospital,,,,,,,,74.370588,32.701503,4865454723,
Arif Pharmacy,pharmacy,pharmacy,,,,,,,,67.015835,24.932336,5234606843,
Mother Care Maternity,hospital,hospital,,,,,,,,72.941918,33.995966,309505786,
Dr Mehdi A Manji Laboratory,clinic,clinic,,,,,,,,67.180188,24.883305,4737685499,
Red Crescent Institute of Cardiology,hospital,hospital,cardiology,,,,,,,68.347949,25.372575,1096136959,
Inayat Medical Center,clinic,clinic,,,,,,,,66.988119,24.973551,5100536829,
Pakistan Medical Store,pharmacy,pharmacy,,,,,,,,74.288226,31.627008,4910219498,
D-Watson,pharmacy,pharmacy,,,,,,,,73.063195,33.637523,4942272821,
DYSON research laboratory,laboratory,,,,,,,,,,,702356222,
FG Degree College,hospital,hospital,,,,,,,,71.436281,30.18189,1921952864,
Government Rural Health Centre Tanda,hospital,hospital,,,,,,,,74.365477,32.698522,4865408821,
Liaqat Medical Store,clinic,clinic,,,,,,,,73.656164,32.488547,4778845921,
Zoha Clinic,hospital,hospital,,,,,,,,74.0843,32.569535,3151336316,
Aga Khan Diagnostic Centre,clinic,clinic,,,,,,,,,,688520368,
Shah Muhammad Tunio Medical Center,hospital,hospital,,,,,,,,68.281998,26.784183,5327509702,
Hearts International,hospital,hospital,,,,,,,,,,236166896,
Ashraf General Hospital,hospital,hospital,,,,,,,,73.995144,31.705808,4912198482,
Government General Hospital Samanabad,hospital,hospital,,,,,,,,73.066469,31.385186,4130580999,
Qurat Ul Ann Hospital,hospital,hospital,,,,,,,,67.189006,24.902051,5269189188,
Malir Halt Hospital,hospital,hospital,,,,,,,,67.175219,24.885497,5226556647,
Faraz Homeopathic Store,clinic,clinic,,,,,,,,67.01631,24.940008,5088577372,
Bahawalpur Hospital,hospital,hospital,,,,,,,,71.670844,29.406197,4923821623,
Ahmed General Hospital,hospital,hospital,,,,,,,,67.084304,24.874614,4790118548,
Muhammadi General & Medical Store,pharmacy,pharmacy,,,,,,,,67.081428,24.881546,5128565462,
ehmania clinic,clinic,clinic,,,,,,,,,,462608929,
Burn Unit,hospital,hospital,,,,,,,,71.441882,30.204828,1921952522,
Dental store feroze,clinic,clinic,,,,,,,,67.017575,24.85931,5400798821,
District Head Quarter Hospital,hospital,hospital,,,,,,,,,,338589000,
Rooghantoon THQ,hospital,hospital,,,,,yes,,,73.064581,34.830024,6459953754,Local
CAA Medical Centre,hospital,hospital,,,,,,,,,,450602223,
,hospital,hospital,,,,,,,,74.482854,36.240623,4025140838,
Alipur Medical Store,pharmacy,pharmacy,,,,,,,,73.180784,33.645134,1669871527,
Aga Khan Family Health Center Khot,doctors,doctors,,,,,,,,,,396146325,
Ittefaq Hospital,hospital,hospital,,,,,,,,74.337509,31.475665,3237660889,
Divisional Headquarter hospital,hospital,hospital,,,,,,,,,,364638234,
Combined Military Hospital,hospital,hospital,,,,,,,,70.92119,31.82654,846545736,
CAA Medical Board,hospital,hospital,,,,,,,,67.144163,24.888581,5226556628,
Talha Chemist,pharmacy,pharmacy,,,,,,,,67.035684,24.813809,4801932705,
Dr Zia's Dental Care,dentist,dentist,,,,,,,,67.053937,24.947658,5185754374,
A To Z Pharma Whole Sale Chemist,pharmacy,pharmacy,,,,,,,,67.179257,24.87594,4764379344,
Hospital,hospital,hospital,,,,,,,,71.74111,35.48026,3993237038,
Elahi General Hospital,hospital,hospital,,,,,,,,73.073213,31.392676,5254213582,
Khanzada Welfare Hospital,hospital,hospital,,,,,,,,68.720866,25.464336,4883212225,
INDUS Medical & General Store,pharmacy,pharmacy,,,,,,,,67.05423,24.862574,4809862095,
Madina Medical Store,clinic,clinic,,,,,,,,67.107277,24.908527,4758078473,
Galaxy Madicos,pharmacy,pharmacy,,,,,,,,67.107885,24.814404,5144939665,
Chinot General Hospital - Korangi,hospital,hospital,,,,,,,,67.14285,24.823779,5128085154,
Al-Ibrahim Eye Hospital,hospital,hospital,,,,,,,,67.224768,24.884867,4767647536,
Rabia Moon Institute of Neurology Trust,hospital,hospital,,,,,,,,67.048615,24.873947,4809862083,
Shaukat Khanum Memorial Cancer Hospital-Phase 7,hospital,hospital,radiology,Shaukat Khanum,,,yes,,,67.076947,24.82551,4430621589,
Govt. Hospital,hospital,hospital,,,,,,,,,,258546878,
civil hospital road,hospital,hospital,,,,,,,,71.917917,30.28746,4577499194,
United Christian Hospital,hospital,hospital,,,,,,,,,,363567266,
Rahman Hospital,hospital,hospital,,,,,,,,73.215561,34.146182,4149869342,
Aliwahan Rohri,clinic,clinic,,,,,,,,68.92328,27.683796,5255848314,
Sharif Oxygen Pvt,pharmacy,pharmacy,,,,,,,,74.281982,31.660281,4907505336,
Naseem Medical Centre,hospital,hospital,,,,,,,,67.074057,24.834153,5308420702,
Shahid Clinic,clinic,clinic,,,,,,,,67.194179,24.856119,5133028124,
Combined Military ospital,hospital,hospital,,CMH,,,,,,,,352177656,
Kinza Madecal Store,pharmacy,pharmacy,,,,,,,,67.045313,24.920381,5239179995,
Care Pharmacy,pharmacy,pharmacy,,,,,,,,73.122835,31.405551,5277671515,
Iliyas Medical Store,pharmacy,pharmacy,,,,,,,,67.186357,24.841153,5133370630,
,doctors,doctors,,,,,,,,75.32049,36.439605,4033058081,
Sarwat Anwer Medical Complex,clinic,clinic,,,,,,,,74.312236,31.494574,4916641136,
Doctors Institute of Medical Sciences,hospital,hospital,,,,,,,,74.306374,31.510849,5254181751,
Lasani Pharma (PVT) Limited,pharmacy,pharmacy,,,,,,,,,,701006558,
Al Syed Hospital Kidney Center,hospital,hospital,,,,,,,,,,231288591,
Sambros Hospital,hospital,hospital,,,,,,,,67.051807,24.920339,5127934396,
Jaawaid Homeopathic Store,pharmacy,pharmacy,,,,,,,,67.123891,24.913683,4772834141,
Maternity Hospital,hospital,hospital,,,,,,,,74.075396,32.570881,3151320736,
Al Khidmat Hospital Orangi 5,hospital,hospital,,,,,,,,67.005069,24.938144,5089149965,
Clinix +,clinic,clinic,,,,,,,,71.923084,30.29707,4756003624,
,doctors,doctors,,,,,,,,73.395077,36.49301,4016483200,
Homeo Pathic Hospital,hospital,hospital,,,,,,,,68.375948,25.3882,1119754101,
,hospital,hospital,,,,,,,,68.355414,25.374085,1099449484,
Madina Medical & General Store,pharmacy,pharmacy,,,,,,,,67.134268,24.928671,5316297855,
EOC Buliding,hospital,hospital,,,,,,,,67.047139,24.848557,5145372004,
Fazl-E-Illahi Hospital,hospital,hospital,,,,,,,,73.746133,32.949719,2776788099,
,doctors,doctors,,,,,,,,74.707836,35.839058,4009344980,
Shaukat Khanum Laboratory Collection Centre,laboratory,,,,,,,,,,,706568995,
