id,product_name,company,pack_size,price_before_pkr,discount_percent,price_after_pkr,availability,text
drug-39a51e601826,Zansulin NPH,Zafa,1 vialx10ml,538,10,484,Sold Out,Zansulin NPH is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 1 vialx10ml. Its retail price is Rs 484 after a 10% discount from the original price of Rs 538. Market availability: Sold Out.
drug-3262b6a0bd98,Zansulin Regular,Zafa,1 vialx10ml,538,10,484,Sold Out,Zansulin Regular is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 1 vialx10ml. Its retail price is Rs 484 after a 10% discount from the original price of Rs 538. Market availability: Sold Out.
drug-75e3a0b36acd,Zanzia 10mg,A'raf,10's,202,10,182,Available,Zanzia 10mg is a pharmaceutical product marketed in Pakistan by A'raf. It is sold in a pack size of 10's. Its retail price is Rs 182 after a 10% discount from the original price of Rs 202. Market availability: Available.
drug-07cb1072194a,Zaron,Raazee,3x10's,36,10,32,Sold Out,Zaron is a pharmaceutical product marketed in Pakistan by Raazee. It is sold in a pack size of 3x10's. Its retail price is Rs 32 after a 10% discount from the original price of Rs 36. Market availability: Sold Out.
drug-c58223747522,Zatofen,Novartis,60ml,153,10,138,Available,Zatofen is a pharmaceutical product marketed in Pakistan by Novartis. It is sold in a pack size of 60ml. Its retail price is Rs 138 after a 10% discount from the original price of Rs 153. Market availability: Available.
drug-8aae46ed1965,Zatofen,Novartis,3x10's,112,10,100,Available,Zatofen is a pharmaceutical product marketed in Pakistan by Novartis. It is sold in a pack size of 3x10's. Its retail price is Rs 100 after a 10% discount from the original price of Rs 112. Market availability: Available.
drug-d671a8dd170f,Zatrocin,Usawa,10,255,10,230,Sold Out,Zatrocin is a pharmaceutical product marketed in Pakistan by Usawa. It is sold in a pack size of 10. Its retail price is Rs 230 after a 10% discount from the original price of Rs 255. Market availability: Sold Out.
drug-9c646473668f,Zatrocin,Usawa,15ml,165,10,149,Sold Out,Zatrocin is a pharmaceutical product marketed in Pakistan by Usawa. It is sold in a pack size of 15ml. Its retail price is Rs 149 after a 10% discount from the original price of Rs 165. Market availability: Sold Out.
drug-0232d3f2d27c,Zauxit,Zafa,2x10's,87,10,79,Available,Zauxit is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 2x10's. Its retail price is Rs 79 after a 10% discount from the original price of Rs 87. Market availability: Available.
drug-6ea7f642ffed,Zavedos,Pfizer,1 Vial,9355,10,8419,Available,Zavedos is a pharmaceutical product marketed in Pakistan by Pfizer. It is sold in a pack size of 1 Vial. Its retail price is Rs 8419 after a 10% discount from the original price of Rs 9355. Market availability: Available.
drug-2eab133fbc09,Zavedos,Pfizer,1 Vial,5034,10,4530,Available,Zavedos is a pharmaceutical product marketed in Pakistan by Pfizer. It is sold in a pack size of 1 Vial. Its retail price is Rs 4530 after a 10% discount from the original price of Rs 5034. Market availability: Available.
drug-52700dfb36dc,Zavget,Getz Pharma,1 x 14's,490,10,441,Available,Zavget is a pharmaceutical product marketed in Pakistan by Getz Pharma. It is sold in a pack size of 1 x 14's. Its retail price is Rs 441 after a 10% discount from the original price of Rs 490. Market availability: Available.
drug-37a6351a4ab0,Zavicefta Powder For Concentrate For Solution For Infusion,Pfizer,1 x 10 Vials Powder,8385,10,7547,Available,Zavicefta Powder For Concentrate For Solution For Infusion is a pharmaceutical product marketed in Pakistan by Pfizer. It is sold in a pack size of 1 x 10 Vials Powder. Its retail price is Rs 7547 after a 10% discount from the original price of Rs 8385. Market availability: Available.
drug-6f027fce16b2,Zaxime,Delta Pharma,5's,335,10,302,Sold Out,Zaxime is a pharmaceutical product marketed in Pakistan by Delta Pharma. It is sold in a pack size of 5's. Its retail price is Rs 302 after a 10% discount from the original price of Rs 335. Market availability: Sold Out.
drug-1f66f46afa65,Zaxime,Delta Pharma,30ml,150,10,135,Sold Out,Zaxime is a pharmaceutical product marketed in Pakistan by Delta Pharma. It is sold in a pack size of 30ml. Its retail price is Rs 135 after a 10% discount from the original price of Rs 150. Market availability: Sold Out.
drug-6ec9bb1f86a5,Zaxime,Delta Pharma,30ml,218,10,196,Sold Out,Zaxime is a pharmaceutical product marketed in Pakistan by Delta Pharma. It is sold in a pack size of 30ml. Its retail price is Rs 196 after a 10% discount from the original price of Rs 218. Market availability: Sold Out.
drug-41310c0b8a24,Zaxime,Delta Pharma,5's,300,10,270,Sold Out,Zaxime is a pharmaceutical product marketed in Pakistan by Delta Pharma. It is sold in a pack size of 5's. Its retail price is Rs 270 after a 10% discount from the original price of Rs 300. Market availability: Sold Out.
drug-f16ac27578a9,Zaxine 75mg SR,A'raf,14's,329,10,296,Available,Zaxine 75mg SR is a pharmaceutical product marketed in Pakistan by A'raf. It is sold in a pack size of 14's. Its retail price is Rs 296 after a 10% discount from the original price of Rs 329. Market availability: Available.
drug-f32e12ace19d,Zeal,Maple,2x7's,133,10,120,Sold Out,Zeal is a pharmaceutical product marketed in Pakistan by Maple. It is sold in a pack size of 2x7's. Its retail price is Rs 120 after a 10% discount from the original price of Rs 133. Market availability: Sold Out.
drug-246fb93dec1a,Zeal,Maple,14s,182,10,164,Sold Out,Zeal is a pharmaceutical product marketed in Pakistan by Maple. It is sold in a pack size of 14s. Its retail price is Rs 164 after a 10% discount from the original price of Rs 182. Market availability: Sold Out.
