period,year,month,national_cpi_yoy_pct,national_cpi_mom_pct,urban_cpi_yoy_pct,urban_cpi_mom_pct,rural_cpi_yoy_pct,rural_cpi_mom_pct,spi_yoy_pct,spi_mom_pct,wpi_yoy_pct,wpi_mom_pct,national_cpi_index_2015_16,urban_cpi_index_2015_16,rural_cpi_index_2015_16,wpi_index_2015_16,annual_bx_klt_dinv_cd_wd,annual_bx_trf_pwkr_cd_dt,annual_fi_res_totl_cd,annual_fp_cpi_totl_zg,annual_ne_exp_gnfs_cd,annual_ne_imp_gnfs_cd,annual_ny_gdp_mktp_cd,annual_ny_gdp_mktp_kd_zg,annual_ny_gdp_pcap_cd,annual_sl_uem_totl_zs,national_cpi_yoy_pct_lag_1m,national_cpi_yoy_pct_lag_3m,national_cpi_yoy_pct_rolling_3m_avg,national_cpi_yoy_pct_rolling_6m_avg,urban_cpi_yoy_pct_lag_1m,urban_cpi_yoy_pct_lag_3m,urban_cpi_yoy_pct_rolling_3m_avg,urban_cpi_yoy_pct_rolling_6m_avg,rural_cpi_yoy_pct_lag_1m,rural_cpi_yoy_pct_lag_3m,rural_cpi_yoy_pct_rolling_3m_avg,rural_cpi_yoy_pct_rolling_6m_avg,spi_yoy_pct_lag_1m,spi_yoy_pct_lag_3m,spi_yoy_pct_rolling_3m_avg,spi_yoy_pct_rolling_6m_avg,wpi_yoy_pct_lag_1m,wpi_yoy_pct_lag_3m,wpi_yoy_pct_rolling_3m_avg,wpi_yoy_pct_rolling_6m_avg,target_next_month_national_cpi_yoy_pct,target_next_month_wpi_yoy_pct,target_next_month_national_cpi_direction,split
2021-01,2021,1,5.7,,5.0,,6.6,,,,6.4,,140.6,139.5,142.2,153.5,2147000000.0,31312000000.0,22811522857.5295,9.496416,31546332472.5314,62659182539.6335,348516647445.148,6.513886,1455.319224,6.338,8.0,8.9,7.333333,8.016667,7.0,7.3,6.333333,6.85,9.5,11.3,8.866667,9.816667,,,,,5.7,5.1,5.7,4.966667,8.7,9.5,up,train
2021-02,2021,2,8.7,,8.6,,8.8,,,,9.5,,143.1,142.6,143.8,156.9,2147000000.0,31312000000.0,22811522857.5295,9.496416,31546332472.5314,62659182539.6335,348516647445.148,6.513886,1455.319224,6.338,5.7,8.3,7.466667,8.1,5.0,7.0,6.866667,7.1,6.6,10.5,8.3,9.633333,,,,,6.4,5.0,7.2,6.0,9.1,14.6,up,train
2021-03,2021,3,9.1,,8.7,,9.5,,,,14.6,,143.6,143.0,144.6,162.7,2147000000.0,31312000000.0,22811522857.5295,9.496416,31546332472.5314,62659182539.6335,348516647445.148,6.513886,1455.319224,6.338,8.7,8.0,7.833333,8.116667,8.6,7.0,7.433333,7.266667,8.8,9.5,8.3,9.366667,,,,,9.5,5.7,10.166667,7.716667,11.1,16.6,up,train
2021-04,2021,4,11.1,,11.0,,11.3,,,,16.6,,145.1,144.9,145.4,162.2,2147000000.0,31312000000.0,22811522857.5295,9.496416,31546332472.5314,62659182539.6335,348516647445.148,6.513886,1455.319224,6.338,9.1,5.7,9.633333,8.483333,8.7,5.0,9.433333,7.883333,9.5,6.6,9.866667,9.366667,,,,,14.6,6.4,13.566667,9.633333,10.9,19.4,down,train
2021-05,2021,5,10.9,,10.8,,10.9,,,,19.4,,145.2,145.2,145.3,162.6,2147000000.0,31312000000.0,22811522857.5295,9.496416,31546332472.5314,62659182539.6335,348516647445.148,6.513886,1455.319224,6.338,11.1,8.7,10.366667,8.916667,11.0,8.6,10.166667,8.516667,11.3,8.8,10.566667,9.433333,,,,,16.6,9.5,16.866667,12.033333,9.7,20.9,down,train
2021-06,2021,6,9.7,,9.6,,9.7,,,,20.9,,144.8,144.6,145.2,164.1,2147000000.0,31312000000.0,22811522857.5295,9.496416,31546332472.5314,62659182539.6335,348516647445.148,6.513886,1455.319224,6.338,10.9,9.1,10.566667,9.2,10.8,8.7,10.466667,8.95,10.9,9.5,10.633333,9.466667,,,,,19.4,14.6,18.966667,14.566667,8.4,17.3,down,train
2021-07,2021,7,8.4,,8.7,,8.0,,,,17.3,,146.8,146.4,147.3,167.9,2147000000.0,31312000000.0,22811522857.5295,9.496416,31546332472.5314,62659182539.6335,348516647445.148,6.513886,1455.319224,6.338,9.7,11.1,9.666667,9.65,9.6,11.0,9.7,9.566667,9.7,11.3,9.533333,9.7,,,,,20.9,16.6,19.2,16.383333,8.4,17.1,flat,train
2021-08,2021,8,8.4,,8.3,,8.4,,,,17.1,,147.6,147.1,148.3,169.8,2147000000.0,31312000000.0,22811522857.5295,9.496416,31546332472.5314,62659182539.6335,348516647445.148,6.513886,1455.319224,6.338,8.4,10.9,8.833333,9.6,8.7,10.8,8.866667,9.516667,8.0,10.9,8.7,9.633333,,,,,17.3,19.4,18.433333,17.65,9.0,19.6,up,train
2021-09,2021,9,9.0,,9.1,,8.8,,,,19.6,,150.7,150.1,151.7,175.2,2147000000.0,31312000000.0,22811522857.5295,9.496416,31546332472.5314,62659182539.6335,348516647445.148,6.513886,1455.319224,6.338,8.4,9.7,8.6,9.583333,8.3,9.6,8.7,9.583333,8.4,9.7,8.4,9.516667,,,,,17.1,20.9,18.0,18.483333,9.2,21.2,up,train
2021-10,2021,10,9.2,,9.6,,8.7,,,,21.2,,153.6,152.6,155.2,182.6,2147000000.0,31312000000.0,22811522857.5295,9.496416,31546332472.5314,62659182539.6335,348516647445.148,6.513886,1455.319224,6.338,9.0,8.4,8.866667,9.266667,9.1,8.7,9.0,9.35,8.8,8.0,8.633333,9.083333,,,,,19.6,17.3,19.3,19.25,11.5,27.0,up,train
2021-11,2021,11,11.5,,12.0,,10.9,,,,27.0,,158.2,157.0,160.0,189.5,2147000000.0,31312000000.0,22811522857.5295,9.496416,31546332472.5314,62659182539.6335,348516647445.148,6.513886,1455.319224,6.338,9.2,8.4,9.9,9.366667,9.6,8.3,10.233333,9.55,8.7,8.4,9.466667,9.083333,,,,,21.2,17.1,22.6,20.516667,12.3,26.2,up,train
2021-12,2021,12,12.3,,12.7,,11.6,,,,26.2,,158.2,157.5,159.2,189.1,2147000000.0,31312000000.0,22811522857.5295,9.496416,31546332472.5314,62659182539.6335,348516647445.148,6.513886,1455.319224,6.338,11.5,9.0,11.0,9.8,12.0,9.1,11.433333,10.066667,10.9,8.8,10.4,9.4,,,,,27.0,19.6,24.8,21.4,13.0,24.0,up,train
2022-01,2022,1,13.0,,13.0,,12.9,,,,24.0,,158.8,157.6,160.6,190.3,1462000000.0,30176000000.0,9926587077.28489,19.87386,39515650036.1059,84315688680.3991,374890295666.694,4.778107,1538.322813,5.291,12.3,9.2,12.266667,10.566667,12.7,9.6,12.566667,10.783333,11.6,8.7,11.8,10.216667,,,,,26.2,21.2,25.733333,22.516667,12.2,23.6,down,train
2022-02,2022,2,12.2,,11.5,,13.3,,,,23.6,,160.6,159.0,163.0,194.0,1462000000.0,30176000000.0,9926587077.28489,19.87386,39515650036.1059,84315688680.3991,374890295666.694,4.778107,1538.322813,5.291,13.0,11.5,12.5,11.2,13.0,12.0,12.4,11.316667,12.9,10.9,12.6,11.033333,,,,,24.0,27.0,24.6,23.6,12.7,23.8,up,train
2022-03,2022,3,12.7,,11.9,,13.9,,,,23.8,,161.9,160.1,164.6,201.4,1462000000.0,30176000000.0,9926587077.28489,19.87386,39515650036.1059,84315688680.3991,374890295666.694,4.778107,1538.322813,5.291,12.2,12.3,12.633333,11.816667,11.5,12.7,12.133333,11.783333,13.3,11.6,13.366667,11.883333,,,,,23.6,26.2,23.8,24.3,13.4,28.1,up,train
2022-04,2022,4,13.4,,12.2,,15.1,,,,28.1,,164.5,162.6,167.3,207.8,1462000000.0,30176000000.0,9926587077.28489,19.87386,39515650036.1059,84315688680.3991,374890295666.694,4.778107,1538.322813,5.291,12.7,13.0,12.766667,12.516667,11.9,13.0,11.866667,12.216667,13.9,12.9,14.1,12.95,,,,,23.8,24.0,25.166667,25.45,13.8,29.6,up,train
2022-05,2022,5,13.8,,12.4,,15.9,,,,29.6,,165.2,163.1,168.4,210.8,1462000000.0,30176000000.0,9926587077.28489,19.87386,39515650036.1059,84315688680.3991,374890295666.694,4.778107,1538.322813,5.291,13.4,12.2,13.3,12.9,12.2,11.5,12.166667,12.283333,15.1,13.3,14.966667,13.783333,,,,,28.1,23.6,27.166667,25.883333,21.3,38.9,up,train
2022-06,2022,6,21.3,,19.8,,23.6,,,,38.9,,175.7,173.2,179.5,228.0,1462000000.0,30176000000.0,9926587077.28489,19.87386,39515650036.1059,84315688680.3991,374890295666.694,4.778107,1538.322813,5.291,13.8,12.7,16.166667,14.4,12.4,11.9,14.8,13.466667,15.9,13.9,18.2,15.783333,,,,,29.6,23.8,32.2,28.0,24.9,38.5,up,train
