auction_type,isin,tenor,issue_date,maturity_date,auction_date,settlement_date,target_amount_million_pkr,offered_competitive_face_value_million_pkr,offered_competitive_realized_value_million_pkr,accepted_competitive_face_value_million_pkr,accepted_competitive_realized_value_million_pkr,accepted_non_competitive_face_value_million_pkr,accepted_non_competitive_realized_value_million_pkr,short_sale_accommodated_face_value_million_pkr
Fresh,PK15Z1906402,15-Year,2025-06-19,2040-06-19,2025-06-18,2025-06-19,50000,290500,48276.6425,288000,47921.76,,,
Fresh,PK02Z1707279,02-Year,2025-07-17,2027-07-17,2025-07-16,2025-07-17,100000,179750,145841.0462,13300,10829.24275,6967.9,5673,19000
Fresh,PK03P1707286,03-Year,2025-07-17,2028-07-17,2025-07-16,2025-07-17,50000,134104.6,131568.8538,19354.6,19110.96555,15910.6,15710,6500
Fresh,PK05P1707307,05-Year,2025-07-17,2030-07-17,2025-07-16,2025-07-17,50000,337950,333608.8953,247000,244303.158,7840,7754,0
Fresh,PK10P1707356,10-Year,2025-07-17,2035-07-17,2025-07-16,2025-07-17,50000,339122.5,321163.5826,159.3,152.9565147,1290,1239,5000
Reopen,PK15Z1906402,15-Year,2025-06-19,2040-06-19,2025-07-16,2025-07-17,50000,704920,118317.7884,,0,0,0,0
Reopen,PK02Z1707279,02-Year,2025-07-17,2027-07-17,2025-08-01,2025-08-04,100000,150250,122140.3983,20250,16504.58975,2290,1866,5500
Reopen,PK03P1707286,03-Year,2025-07-17,2028-07-17,2025-08-01,2025-08-04,50000,273779,268972.28,42279,41872.7957,1811.7,1794.295,2750
Reopen,PK05P1707307,05-Year,2025-07-17,2030-07-17,2025-08-01,2025-08-04,50000,234981,231874.491,39881,39525.2236,3493.8,3462.63,0
Reopen,PK10P1707356,10-Year,2025-07-17,2035-07-17,2025-08-01,2025-08-04,50000,342607,330262.667,214030,207347.9677,1560.3,1511.589,5000
Reopen,PK15Z1906402,15-Year,2025-06-19,2040-06-19,2025-08-01,2025-08-04,50000,1032500,180097.54,300000,52424.5,87.5,15.291,0
Reopen,PK02Z1707279,02-Year,2025-07-17,2027-07-17,2025-09-05,2025-09-08,100000,91302,74904.81189,39450,32422.53055,3839,3155,0
Reopen,PK03P1707286,03-Year,2025-07-17,2028-07-17,2025-09-05,2025-09-08,50000,100434,99961.505,5584,5585.1917,2561.4,2561.944,0
Reopen,PK05P1707307,05-Year,2025-07-17,2030-07-17,2025-09-05,2025-09-08,100000,236580,236007.542,108850,108905.3074,6143.6,6146.717,0
Reopen,PK10P1707356,10-Year,2025-07-17,2035-07-17,2025-09-05,2025-09-08,100000,356792.2,349903.732,205000,202426.1375,2855.3,2819.442,0
Reopen,PK15Z1906402,15-Year,2025-06-19,2040-06-19,2025-09-05,2025-09-08,50000,497500,88129.8975,280000,49896.56,0,0,0
Reopen,PK02Z1707279,02-Year,2025-07-17,2027-07-17,2025-10-14,2025-10-15,100000,164100,135750.38,12080,10009.1758,5473,4534.786,0
Reopen,PK03P1707286,03-Year,2025-07-17,2028-07-17,2025-10-14,2025-10-15,50000,111500,111919.903,11500,11566.674,2358.5,2372.173,0
Reopen,PK05P1707307,05-Year,2025-07-17,2030-07-17,2025-10-14,2025-10-15,100000,220450.5,221233.877,5938.4,5991.1582,6974.1,7036.059,0
Reopen,PK10P1707356,10-Year,2025-07-17,2035-07-17,2025-10-14,2025-10-15,150000,522799,522533.251,333402,334882.3955,4000,4017.752,0
Reopen,PK15Z1906402,15-Year,2025-06-19,2040-06-19,2025-10-14,2025-10-15,50000,517500,93392.545,125000,22765.455,6,1.092735698,0
Reopen,PK02Z1707279,02-Year,2025-07-17,2027-07-17,2025-11-05,2025-11-06,50000,160100,133117.965,59600,49607.8575,1675.1,1394.263794,2500
Reopen,PK03P1707286,03-Year,2025-07-17,2028-07-17,2025-11-05,2025-11-06,100000,319650,321361.171,137150,138579.5174,2688,2716.017082,5000
Reopen,PK05P1707307,05-Year,2025-07-17,2030-07-17,2025-11-05,2025-11-06,100000,179350,181062.171,90700,91841.7558,6775,6860.285508,0
Reopen,PK10P1707356,10-Year,2025-07-17,2035-07-17,2025-11-05,2025-11-06,100000,239973.8,239810.142,144473.8,145945.8869,2080,2101.193744,0
Reopen,PK15Z1906402,15-Year,2025-06-19,2040-06-19,2025-11-05,2025-11-06,50000,539500,98486.3345,340000,62796.3,10.6,1.957767,0
Reopen,PK02Z1707279,02-Year,2025-07-17,2027-07-17,2025-12-17,2025-12-18,75000,684553,581615.32,100000,85112.85,7370,6272.817045,9500
Reopen,PK03P1707286,03-Year,2025-07-17,2028-07-17,2025-12-17,2025-12-18,100000,499100,515677.94,75000,77725.966,9340.1,9679.577267,
Reopen,PK05P1707307,05-Year,2025-07-17,2030-07-17,2025-12-17,2025-12-18,75000,258360,267834.448,94560,98435.529,8800,9160.666827,
Reopen,PK10P1707356,10-Year,2025-07-17,2035-07-17,2025-12-17,2025-12-18,100000,452570,466935.111,101050,104944.516,3147.1,3268.39076,
Reopen,PK15Z1906402,15-Year,2025-06-19,2040-06-19,2025-12-17,2025-12-18,50000,593705,112058.506,36200,7002.7271,,,
Fresh,PK02Z1501284,02-Year,2026-01-15,2028-01-15,2026-01-14,2026-01-15,100000,313750,257980.578,93000,76603.414,8736.7,7196.358633,12000
Fresh,PK03P1501291,03-Year,2026-01-15,2029-01-15,2026-01-14,2026-01-15,100000,499650,499821.624,125000,125407.185,17175.7,17231.64125,14420
Fresh,PK05P1501312,05-Year,2026-01-15,2031-01-15,2026-01-14,2026-01-15,100000,312510,311151.268,106000,106154.5483,11065,11081.09958,16000
Fresh,PK10P1501361,10-Year,2026-01-15,2036-01-15,2026-01-14,2026-01-15,100000,271000,266753.452,126000,126092.85,4925,4928.619875,12000
Fresh,PK15Z1501419,15-Year,2026-01-15,2041-01-15,2026-01-14,2026-01-15,50000,666501,122495.3514,,0,,,
Reopen,PK02Z1501284,02-Year,2026-01-15,2028-01-15,2026-02-06,2026-02-09,100000,140000,115524.4,32000,26470.383,5258,4349.414807,11000
Reopen,PK03P1501291,03-Year,2026-01-15,2029-01-15,2026-02-06,2026-02-09,100000,295975,297539.249,150000,151188.7244,10646.2,10730.56932,9650
Reopen,PK05P1501312,05-Year,2026-01-15,2031-01-15,2026-02-06,2026-02-09,100000,364350,362426.164,207600,207467.1979,7170,7165.413338,3000
Reopen,PK10P1501361,10-Year,2026-01-15,2036-01-15,2026-02-06,2026-02-09,100000,132750,130383.711,58750,58578.5752,1900,1894.456049,1000
Reopen,PK15Z1501419,15-Year,2026-01-15,2041-01-15,2026-02-06,2026-02-09,50000,811500,150995.117,53000,10524.303,,,
Reopen,PK02Z1501284,02-Year,2026-01-15,2028-01-15,2026-03-26,2026-03-27,100000,91000,73246.649,38000,30763.22,4080,3303,
Reopen,PK03P1501291,03-Year,2026-01-15,2029-01-15,2026-03-26,2026-03-27,100000,86250,83288.715,60750,59018.5,4763.9,4628.079263,
Reopen,PK05P1501312,05-Year,2026-01-15,2031-01-15,2026-03-26,2026-03-27,50000,105700,99082.135,29700,28264.7716,3940,3750,
Reopen,PK10P1501361,10-Year,2026-01-15,2036-01-15,2026-03-26,2026-03-27,100000,145500,128893.707,,,,,
Reopen,PK15Z1501419,15-Year,2026-01-15,2041-01-15,2026-03-26,2026-03-27,50000,390000,67621.97,325000,57578.95,,,
Reopen,PK02Z1501284,02-Year,2026-01-15,2028-01-15,2026-04-28,2026-04-29,50000,52004,42003.722,,,,,
Reopen,PK03P1501291,03-Year,2026-01-15,2029-01-15,2026-04-28,2026-04-29,50000,54500,52720.563,,,,,
Reopen,PK05P1501312,05-Year,2026-01-15,2031-01-15,2026-04-28,2026-04-29,50000,212171,199383.6,,,,,
Reopen,PK10P1501361,10-Year,2026-01-15,2036-01-15,2026-04-28,2026-04-29,100000,162259,146272.686,,,,,
Reopen,PK15Z1501419,15-Year,2026-01-15,2041-01-15,2026-04-28,2026-04-29,50000,425500,72107.6545,,,,,
Reopen,PK02Z1501284,02-Year,2026-01-15,2028-01-15,2026-05-18,2026-05-19,50000,66500,53772.801,24500,19957.673,1830,1491,0
Fresh,PK03P1905294,03-Year,2026-05-19,2029-05-19,2026-05-18,2026-05-19,50000,40000,38570.922,5000,4849.71,2123,2059,4500
Fresh,PK05P1905315,05-Year,2026-05-19,1931-05-19,2026-05-18,2026-05-19,100000,126726,121320.037,15000,14641.29,6395,6242,16000
Fresh,PK10P1905364,10-Year,2026-05-19,1936-05-19,2026-05-18,2026-05-19,100000,150763,141601.781,53440,52456.3296,1500,1472,500
Reopen,PK15Z1501419,15-Year,2026-01-15,2041-01-15,2026-05-18,2026-05-19,50000,626500,102849.144,521000,87969.287,0,0,0
Reopen,PK02Z1501284,02-Year,2026-01-15,2028-01-15,2026-06-17,2026-06-18,50000,221001.3,183527.9,2500,2086.5,1957.2,1633.5,0
Reopen,PK03P1905294,03-Year,2026-05-19,2029-05-19,2026-06-17,2026-06-18,50000,612551.1,614515.2,153000.1,154242.6,6147,6196.9,11250
Reopen,PK05P1905315,05-Year,2026-05-19,1931-05-19,2026-06-17,2026-06-18,100000,825910,832965.9,313000,317842,8690.1,8824.5,28000
Reopen,PK10P1905364,10-Year,2026-05-19,1936-05-19,2026-06-17,2026-06-18,100000,247462,245633.6,114994,115680.1,1002.6,1008.6,8000
Reopen,PK15Z1501419,15-Year,2026-01-15,2041-01-15,2026-06-17,2026-06-18,50000,155500,26595.5,,,,,
